"size","variables","timeOnCreating","timeOnUsing","timeOnEvaluating","reducingRate"
"100","3","14.5209","2.3083","7.116","67.14285714285714"
"100","4","4.1429","0.8975","7.6708","76.2"
"100","5","3.0237","1.2906","10.9812","85.2258064516129"
"100","6","3.248","0.9659","6.489","89.36507936507937"
"100","7","3.4704","1.1872","14.7972","93.88188976377953"
"100","8","4.7681","1.3859","8.1341","95.94901960784314"
"100","9","5.6807","1.665","16.752","97.48140900195695"
"100","10","10.1963","3.4727","27.4817","98.60899315738025"
"100","11","11.6556","16.6052","37.3984","99.10893991206643"
"100","12","19.4331","17.5534","22.6336","99.55506715506715"
"100","13","32.7166","2.2199","16.8383","99.73568550848492"
"100","14","46.7566","4.3832","25.6593","99.8724897759873"
"100","15","29.8013","2.0108","17.6437","99.92031617175817"
"100","16","85.1914","5.0197","44.5851","99.9561608300908"
"100","17","154.4575","4.5182","37.3285","99.97241189889449"
"100","18","295.0343","4.512","43.4337","99.98668665575659"
"100","19","845.7231","7.7368","60.5411","99.99378012424492"
