"size","variables","timeOnCreating","timeOnUsing","timeOnEvaluating","reducingRate"
"100","3","32.824901","1.0847","6.0418","67.0"
"100","4","11.173101","0.9761","10.7515","78.53333333333333"
"100","5","13.5133","0.771601","5.3995","84.80645161290323"
"100","6","17.324301","1.4235","9.4061","90.60317460317461"
"100","7","20.320201","1.1154","15.240199","93.63779527559055"
"100","8","40.945699","4.1164","9.2052","95.63921568627451"
"100","9","43.7667","1.651299","10.9341","97.7358121330724"
"100","10","53.136201","1.374499","9.309701","98.57869012707722"
"100","11","87.815499","1.5027","15.3766","99.17195896433806"
"100","12","73.080101","1.604101","11.8607","99.51526251526252"
"100","13","135.153599","1.6479","16.6397","99.73812721279452"
"100","14","214.087899","1.9768","14.3228","99.85936641640725"
"100","15","430.266799","1.8844","15.6158","99.92077394940031"
"100","16","971.8622","2.9808","26.3519","99.95317006179904"
"100","17","2151.558","2.4884","27.6094","99.97331980377048"
"100","18","4730.2807","2.7538","22.9928","99.98702235039654"
"100","19","9578.4647","2.9779","25.609","99.9932002891546"
