"size","variables","timeOnCreating","timeOnUsing","timeOnEvaluating","reducingRate"
"100","3","21.901905","6.457308","18.075482","66.0"
"100","4","8.151163","2.17657","14.108655","77.66666666666667"
"100","5","5.145565","1.939362","13.986751","83.7741935483871"
"100","6","5.165667","2.024165","12.877715","90.11111111111111"
"100","7","5.018762","1.698555","15.035184","93.05511811023622"
"100","8","7.907255","3.592316","25.292214","95.92549019607843"
"100","9","13.798544","18.826006","59.961031","97.7573385518591"
"100","10","17.027249","19.734936","46.974913","98.65395894428153"
"100","11","18.837006","22.922238","78.619732","99.2276502198339"
"100","12","31.788524","3.494513","24.775598","99.50989010989011"
"100","13","57.75356","2.212171","17.975779","99.72579660603101"
"100","14","50.802436","6.134898","67.804484","99.85082097295978"
"100","15","89.72329","4.537346","39.980891","99.92690816980499"
"100","16","138.816287","5.468477","54.324757","99.96040283817807"
"100","17","398.706789","5.834389","60.834066","99.97673016914497"
"100","18","617.359557","4.437043","35.312542","99.98888774447535"
"100","19","1172.397099","3.282607","58.123479","99.99252317909847"
