"size","variables","timeOnCreating","timeOnUsing","timeOnEvaluating","reducingRate"
"100","3","56.287616","4.401042","17.093651","66.28571428571428"
"100","4","31.847928","1.568751","11.16766","74.6"
"100","5","29.051038","2.202072","18.060182","83.87096774193549"
"100","6","42.341867","1.993965","20.034546","89.22222222222223"
"100","7","56.879536","9.525307","30.753492","93.09448818897638"
"100","8","54.638464","14.698475","38.958357","95.68627450980392"
"100","9","51.474062","2.17227","14.052054","97.42465753424658"
"100","10","86.324786","2.449679","22.362422","98.59335288367546"
"100","11","131.876857","2.935594","19.537331","99.17342452369321"
"100","12","121.819832","3.315707","14.266661","99.55873015873016"
"100","13","177.813739","1.816458","16.069219","99.72420949822977"
"100","14","362.844611","5.036663","42.827082","99.8583287554172"
"100","15","667.120532","2.342176","19.427527","99.92303231910154"
"100","16","1843.285092","10.703245","53.284519","99.96246280613413"
"100","17","4138.187623","4.138333","41.383535","99.97541027382105"
"100","18","9132.092955","3.180303","42.236867","99.98382562189339"
"100","19","20550.784813","3.477013","53.463234","99.99212644982615"
